City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Maningrida,AU,-12.0667,134.2667,81.21,30,11,9.8,few clouds
189,Kavaratti,IN,10.5669,72.642,77.5,89,100,26.4,light rain
190,Hokitika,NZ,-42.7167,170.9667,43.38,57,1,0.2,clear sky
191,Lebu,CL,-37.6167,-73.65,49.51,78,95,3.0,overcast clouds
192,Marsa Matruh,EG,31.3525,27.2453,80.8,74,40,6.91,scattered clouds
193,Gamba,GA,-2.65,10.0,73.33,86,44,7.76,scattered clouds
194,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,65,96,8.32,overcast clouds
195,Zabol,AF,32.25,67.25,65.61,22,0,7.0,clear sky
196,Hervey Bay,AU,-25.2986,152.8535,68.02,70,23,10.0,few clouds
197,Samarai,PG,-10.6167,150.6667,82.6,73,5,10.33,clear sky
198,La Romana,DO,18.4273,-68.9728,77.36,94,40,0.0,scattered clouds
199,Whitehorse,CA,60.7161,-135.0538,59.02,47,75,10.0,broken clouds
200,Ancud,CL,-41.8697,-73.8203,49.23,79,100,14.09,overcast clouds
201,Klaksvik,FO,62.2266,-6.589,56.32,97,100,19.42,light rain
202,Penha,BR,-26.7694,-48.6458,64.27,82,100,9.22,moderate rain
203,Carnarvon,AU,-24.8667,113.6333,63.07,62,85,16.26,overcast clouds
204,Mlonggo,ID,-6.5333,110.7,80.2,76,93,5.21,overcast clouds
205,Berlevag,NO,70.8578,29.0864,46.35,81,100,17.27,overcast clouds
206,Sokone,SN,13.8833,-16.3667,82.29,87,84,5.88,broken clouds
207,Uyemskiy,RU,64.4743,40.8524,46.45,100,40,4.47,scattered clouds
208,Saint-Augustin,CA,51.226,-58.6502,53.49,83,91,7.02,overcast clouds
209,Grajau,BR,-5.8194,-46.1386,88.14,30,64,3.31,broken clouds
210,Hovd,MN,48.0056,91.6419,59.65,35,6,2.26,clear sky
211,Neuquen,AR,-38.9516,-68.0591,66.09,39,94,0.0,overcast clouds
212,Norman Wells,CA,65.282,-126.8329,46.44,87,100,19.57,light rain
213,Nelson Bay,AU,-32.7167,152.15,60.01,97,78,8.01,light rain
214,Tazovskiy,RU,67.4667,78.7,38.55,87,100,16.46,overcast clouds
215,Altamont,US,42.2068,-121.7372,98.78,15,0,4.61,clear sky
216,Ibb,YE,13.9667,44.1833,67.48,63,57,4.63,broken clouds
217,Dongtai,CN,32.8523,120.3095,73.51,79,4,4.63,clear sky
218,Conceicao Do Araguaia,BR,-8.2578,-49.2647,91.9,23,65,2.26,broken clouds
219,Kudahuvadhoo,MV,2.6708,72.8944,82.35,74,100,19.46,overcast clouds
220,Bosobolo,CD,4.1833,19.9,69.22,97,54,1.1,broken clouds
221,Srandakan,ID,-7.9386,110.2506,77.47,85,67,7.23,broken clouds
222,Chumikan,RU,54.7183,135.315,51.66,90,100,20.92,light rain
223,Dingle,PH,10.9995,122.6711,79.0,90,100,8.32,moderate rain
224,Cascais,PT,38.6979,-9.4215,72.52,72,5,13.0,clear sky
225,Fort Nelson,CA,58.8053,-122.7002,63.99,52,75,8.05,broken clouds
226,Havelock,US,34.8791,-76.9013,84.18,82,100,5.82,overcast clouds
227,Erenhot,CN,43.6475,111.9767,53.94,48,21,13.27,few clouds
228,Biak,ID,-0.9131,122.8766,77.85,81,99,3.36,overcast clouds
229,Miri,MY,4.4148,114.0089,73.54,94,40,3.44,moderate rain
230,Paraiso,CR,9.8383,-83.8656,69.89,100,100,1.97,overcast clouds
231,Nagua,DO,19.3832,-69.8474,82.45,89,40,9.22,scattered clouds
232,Male,MV,4.1748,73.5089,82.35,83,75,20.71,broken clouds
233,Shingu,JP,33.7333,135.9833,81.25,86,96,11.48,overcast clouds
